X,Y,OBJECTID,Concelho,ConfirmadosAcumulado,Recuperados,Obitos,Data,Dicofre
-8.23261884499993,37.1337850570001,9210,ALBUFEIRA,18,0,0,2020/03/26 12:00:00,0801
-9.19907097799995,38.7978557340001,9211,ODIVELAS,18,0,0,2020/03/26 12:00:00,1116
-9.27618968599995,38.7169092550001,9212,OEIRAS,17,0,0,2020/03/26 12:00:00,1110
-8.39573265499996,41.1818975210001,9213,PAREDES,16,0,0,2020/03/26 12:00:00,1310
-8.58336393499997,37.191398737,9214,PORTIMÃO,16,0,0,2020/03/26 12:00:00,0811
-8.6236398,41.5368588480001,9215,BARCELOS,15,0,0,2020/03/26 12:00:00,0302
-8.6261922799999,40.9948388070001,9216,ESPINHO,13,0,0,2020/03/26 12:00:00,0107
-8.71798188,41.419305782,9217,PÓVOA DE VARZIM,13,0,0,2020/03/26 12:00:00,1313
-8.44426729899993,41.3207422450001,9218,SANTO TIRSO,13,0,0,2020/03/26 12:00:00,1314
-8.67772409499997,39.9266197090001,9219,POMBAL,12,0,0,2020/03/26 12:00:00,1015
-8.68331163499994,41.3377724960001,9220,VILA DO CONDE,12,0,0,2020/03/26 12:00:00,1316
-8.29353547599993,41.150805522,9221,PENAFIEL,11,0,0,2020/03/26 12:00:00,1311
-8.39540551699997,40.5858772550001,9222,ÁGUEDA,10,0,0,2020/03/26 12:00:00,0101
-8.70011338499995,40.606175412,9223,ÍLHAVO,10,0,0,2020/03/26 12:00:00,0110
-8.72895002399997,39.3370532070001,9224,SANTARÉM,9,0,0,2020/03/26 12:00:00,1416
-8.88785857699997,38.5162025820001,9225,SETÚBAL,9,0,0,2020/03/26 12:00:00,1512
-8.36429993799993,41.9029178700001,9226,ARCOS DE VALDEVEZ,8,0,0,2020/03/26 12:00:00,1601
-7.87014704799998,38.533389787,9227,ÉVORA,8,0,0,2020/03/26 12:00:00,0705
-8.04691642699993,37.2252592520001,9228,LOULÉ,8,0,0,2020/03/26 12:00:00,0808
-9.30864143599996,38.96122088,9229,MAFRA,8,0,0,2020/03/26 12:00:00,1109
-9.35759928299996,38.8231430590001,9230,SINTRA,8,0,0,2020/03/26 12:00:00,1111
-8.56724672,41.3111358020001,9231,TROFA,8,0,0,2020/03/26 12:00:00,1318
-7.73870894099997,41.311627597,9232,VILA REAL,8,0,0,2020/03/26 12:00:00,1714
-8.80243239799995,39.7896675900001,9233,LEIRIA,7,0,0,2020/03/26 12:00:00,1009
-8.62013186199994,40.0668475,9234,SOURE,7,0,0,2020/03/26 12:00:00,0615
-8.34491249,41.6517003170001,9235,AMARES,6,0,0,2020/03/26 12:00:00,0301
-9.04506042799994,38.6286068260001,9236,BARREIRO,6,0,0,2020/03/26 12:00:00,1504
-8.57578489,40.7615444320001,9237,ESTARREJA,6,0,0,2020/03/26 12:00:00,0108
-8.58161407099993,38.185692869,9238,GRÂNDOLA,6,0,0,2020/03/26 12:00:00,1505
-8.95301348399994,39.7856948040001,9239,MARINHA GRANDE,6,0,0,2020/03/26 12:00:00,1010
-8.55103437,40.515716533,9240,OLIVEIRA DO BAIRRO,6,0,0,2020/03/26 12:00:00,0114
-8.98450526699997,38.922122685,9241,VILA FRANCA DE XIRA,6,0,0,2020/03/26 12:00:00,1114
-8.75822177699996,41.5471320340001,9242,ESPOSENDE,5,0,0,2020/03/26 12:00:00,0306
-8.14838021799994,41.477144079,9243,FAFE,5,0,0,2020/03/26 12:00:00,0307
-7.18763684099997,41.50872034,9244,MIRANDELA,5,0,0,2020/03/26 12:00:00,0407
-9.00139556199997,38.6529181650001,9245,MOITA,5,0,0,2020/03/26 12:00:00,1506
-8.58728008,41.757523679,9246,PONTE DE LIMA,5,0,0,2020/03/26 12:00:00,1607
-8.34590362799997,37.2704221390001,9247,SILVES,5,0,0,2020/03/26 12:00:00,0813
-8.63777573699997,40.3548601790001,9248,CANTANHEDE,4,0,0,2020/03/26 12:00:00,0602
-8.78957986099994,39.145729132,9249,CARTAXO,4,0,0,2020/03/26 12:00:00,1406
-8.4997546499999,40.0987905850001,9250,CONDEIXA-A-NOVA,4,0,0,2020/03/26 12:00:00,0604
-8.44752562799994,38.9403653580001,9251,CORUCHE,4,0,0,2020/03/26 12:00:00,1409
-8.72792659,37.1518399980001,9252,LAGOS,4,0,0,2020/03/26 12:00:00,0807
-8.65810567499994,40.214682614,9253,MONTEMOR-O-VELHO,4,0,0,2020/03/26 12:00:00,0610
-8.95935435299998,38.6957765380001,9254,MONTIJO,4,0,0,2020/03/26 12:00:00,1507
-8.25256062799997,41.5882242810001,9255,PÓVOA DE LANHOSO,4,0,0,2020/03/26 12:00:00,0309
-9.11995197699997,38.49498078,9256,SESIMBRA,4,0,0,2020/03/26 12:00:00,1511
-8.91614976199997,38.7352302,9257,ALCOCHETE,3,0,0,2020/03/26 12:00:00,1502
-8.57971310399995,39.1589294070001,9258,ALMEIRIM,3,0,0,2020/03/26 12:00:00,1403
-8.39598386499995,39.8191333400001,9259,ALVAIÁZERE,3,0,0,2020/03/26 12:00:00,1002
-8.79074437499997,41.847697639,9260,CAMINHA,3,0,0,2020/03/26 12:00:00,1602
-7.43699353599993,41.750213698,9261,CHAVES,3,0,0,2020/03/26 12:00:00,1703
-6.90643694599993,41.543467417,9262,MACEDO DE CAVALEIROS,3,0,0,2020/03/26 12:00:00,0405
-7.86577393299996,40.5266217240001,9263,NELAS,3,0,0,2020/03/26 12:00:00,1809
-8.57435847799997,39.69267842,9264,OURÉM,3,0,0,2020/03/26 12:00:00,1421
-7.93983940199996,41.0760559890001,9265,RESENDE,3,0,0,2020/03/26 12:00:00,1813
-8.49069668799996,40.8956721870001,9266,SÃO JOÃO DA MADEIRA,3,0,0,2020/03/26 12:00:00,0116
-8.68962428099996,40.51561457,9267,VAGOS,3,0,0,2020/03/26 12:00:00,0118
-8.33595427699993,40.833481572,9268,VALE DE CAMBRA,3,0,0,2020/03/26 12:00:00,0119
-7.51867063499998,37.194264316,9269,VILA REAL DE SANTO ANTÓNIO,3,0,0,2020/03/26 12:00:00,0816
-8.62165234199995,41.161641108,9270,PORTO,317,0,0,2020/03/27 12:00:00,1312
-9.15647596,38.737942796,9271,LISBOA,284,0,0,2020/03/27 12:00:00,1106
-8.58046458899997,41.0746034160001,9272,VILA NOVA DE GAIA,262,0,0,2020/03/27 12:00:00,1317
-8.60156280499996,41.2447796100001,9273,MAIA,171,0,0,2020/03/27 12:00:00,1306
-8.48307961599994,41.109544919,9274,GONDOMAR,149,0,0,2020/03/27 12:00:00,1304
-8.61985292,40.8765625930001,9275,OVAR,145,0,0,2020/03/27 12:00:00,0115
-8.42080560799997,41.544601035,9276,BRAGA,131,0,0,2020/03/27 12:00:00,0303
-8.44628443799996,40.2161326660001,9277,COIMBRA,109,0,0,2020/03/27 12:00:00,0603
-8.49428629699997,41.2064478550001,9278,VALONGO,108,0,0,2020/03/27 12:00:00,1315
-8.67174399199996,41.213012115,9279,MATOSINHOS,107,0,0,2020/03/27 12:00:00,1308
-8.62817370799996,40.6416935880001,9280,AVEIRO,55,0,0,2020/03/27 12:00:00,0105
-8.5108260499999,40.967152583,9281,SANTA MARIA DA FEIRA,54,0,0,2020/03/27 12:00:00,0109
-8.31577560899996,41.460777663,9282,GUIMARÃES,51,0,0,2020/03/27 12:00:00,0308
-8.50350018299997,41.4086407670001,9283,VILA NOVA DE FAMALICÃO,48,0,0,2020/03/27 12:00:00,0312
-9.40095515,38.725011174,9284,CASCAIS,44,0,0,2020/03/27 12:00:00,1105
